industry_type,total_direct_emissions,state_population,state_gdp_per_capita,state_policies_incentives,USDA_energy_invest_unit,USDA_energy_invest,renewables_percent
46,12.145993245053567,27914064,58033.62062,140,176,83600842.01,13.4
46,13.713464268630501,27914064,58033.62062,140,176,83600842.01,13.4
21,9.681046254584295,27914064,58033.62062,140,176,83600842.01,13.4
9,10.920624023785976,27914064,58033.62062,140,176,83600842.01,13.4
29,11.043238585553969,27914064,58033.62062,140,176,83600842.01,13.4
32,10.81642241979019,27914064,58033.62062,140,176,83600842.01,13.4
32,9.927178590547362,27914064,58033.62062,140,176,83600842.01,13.4
9,10.390130969432583,27914064,58033.62062,140,176,83600842.01,13.4
9,10.332899759636089,27914064,58033.62062,140,176,83600842.01,13.4
32,10.241978250692567,27914064,58033.62062,140,176,83600842.01,13.4
32,10.411827068495509,27914064,58033.62062,140,176,83600842.01,13.4
32,10.252628416435154,27914064,58033.62062,140,176,83600842.01,13.4
32,10.665910344608296,27914064,58033.62062,140,176,83600842.01,13.4
32,10.94472140316074,27914064,58033.62062,140,176,83600842.01,13.4
32,10.48489351509583,27914064,58033.62062,140,176,83600842.01,13.4
32,10.107885375439713,27914064,58033.62062,140,176,83600842.01,13.4
29,12.031496590739653,27914064,58033.62062,140,176,83600842.01,13.4
32,12.057997860016755,27914064,58033.62062,140,176,83600842.01,13.4
32,12.108924725114527,27914064,58033.62062,140,176,83600842.01,13.4
32,10.600489593565076,27914064,58033.62062,140,176,83600842.01,13.4
32,12.452282457397041,27914064,58033.62062,140,176,83600842.01,13.4
46,11.469203394291318,27914064,58033.62062,140,176,83600842.01,13.4
28,10.371785978749195,27914064,58033.62062,140,176,83600842.01,13.4
29,10.461049747578056,27914064,58033.62062,140,176,83600842.01,13.4
29,12.38762815064812,27914064,58033.62062,140,176,83600842.01,13.4
9,11.878238742836773,27914064,58033.62062,140,176,83600842.01,13.4
32,11.596581176339775,27914064,58033.62062,140,176,83600842.01,13.4
9,11.197398633797986,27914064,58033.62062,140,176,83600842.01,13.4
9,10.778468004031222,27914064,58033.62062,140,176,83600842.01,13.4
28,11.751480684079139,27914064,58033.62062,140,176,83600842.01,13.4
28,12.030861962440788,27914064,58033.62062,140,176,83600842.01,13.4
9,13.3470832856149,27914064,58033.62062,140,176,83600842.01,13.4
9,12.866538088759015,27914064,58033.62062,140,176,83600842.01,13.4
9,10.869022669215425,27914064,58033.62062,140,176,83600842.01,13.4
29,10.382345429482037,27914064,58033.62062,140,176,83600842.01,13.4
46,9.471477114115551,27914064,58033.62062,140,176,83600842.01,13.4
9,10.340644590680919,27914064,58033.62062,140,176,83600842.01,13.4
9,11.61441635929134,27914064,58033.62062,140,176,83600842.01,13.4
9,11.96267000775815,27914064,58033.62062,140,176,83600842.01,13.4
9,12.770689097847175,27914064,58033.62062,140,176,83600842.01,13.4
9,9.457442608085051,27914064,58033.62062,140,176,83600842.01,13.4
