,Facility Id,Facility Name,State,Latitude,Longitude,Primary NAICS Code,Industry Type (sectors),CO2 emissions (non-biogenic) 
3192,1003449,KaMin LLC-Macon,GA,32.70076,-83.55474,212324,Other,17455.1
3193,1002056,Kaiser Aluminum Washington,WA,47.687074,-117.212673,331315,Metals,106123.4
3194,1001313,Kalamazoo River Generating Station,MI,42.2797,-85.4922,221112,Power Plants,51712.7
3195,1000182,Kalkaska Ct Project #1,MI,44.6889,-85.2019,221112,Power Plants,12890.3
3197,1011811,Kaplan Gas Plant,LA,29.8808,-92.2805,211130,Petroleum and Natural Gas Systems,54083.9
3198,1000747,Kearny Generating Station,NJ,40.7375,-74.1,221112,Power Plants,61635.5
3199,1004837,Keatchie Gas Plant,LA,32.136622,-93.92665,211130,Petroleum and Natural Gas Systems,27446.6
3201,1001179,Kemper County,MS,32.7976,-88.6057,221112,Power Plants,153520.5
3202,1000657,Kendall Green Energy,MA,42.3633,-71.0792,221112,Power Plants,717320.3
3203,1011012,Kenedy Gas Plant,TX,28.7516,-98.0138,486210,Petroleum and Natural Gas Systems,145999.7
3204,1005234,"Kennecott Utah Copper, LLC",UT,40.54717,-112.00316,212230,"Other,Waste",156784.2
3205,1011274,Kensington Cryogenic Processing Plant,OH,40.73398,-80.92937,211130,Petroleum and Natural Gas Systems,59296.5
3206,1004001,Kern River Cogeneration Facility,CA,35.4518,-118.9851,221112,"Other,Power Plants",298095.0
3208,1010858,Kettle Falls Generating Station,WA,48.614625,-118.10147,221117,"Power Plants,Waste",1201.8
3209,1003410,Key City/Wilmarth Plant,MN,44.196163,-94.003383,221112,Power Plants,94080.2
3210,1013136,Keys Energy Center,MD,38.695485,-76.828091,221112,Power Plants,1948826.1
3211,1000883,Keystone,PA,40.6604,-79.3411,221112,Power Plants,7206235.2
3212,1005181,Keystone Gas Plant,TX,31.946927,-103.043207,486210,Petroleum and Natural Gas Systems,77212.9
3213,1011199,"Kia Georgia, Inc.",GA,32.9159,-85.11761,336111,"Import and Export of Equipment Containing Fluorintaed GHGs,Other",18671.8
3215,1001520,"Kincaid Generation, LLC",IL,39.5906,-89.4964,221112,Power Plants,1545435.7
3216,1004709,"Kinder Morgan Altamont LLC Altamont Gas Plant, Altamont, UT",UT,40.35932,-110.28605,211130,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",40378.2
3217,1004712,"Kinder Morgan Altamont LLC Bluebell Gas Plant, Roosevelt, UT",UT,40.38154,-110.08625,211130,Petroleum and Natural Gas Systems,91447.0
3218,1012041,"Kinder Morgan Treating, L.P., Huntsville Gas Plant, Huntsville, TX",TX,30.819862,-95.593021,486210,Petroleum and Natural Gas Systems,646.8
3219,1002521,King Ranch Gas Plant,TX,27.4656,-98.0576,486210,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",267708.7
3220,1001944,King Salmon Platform,AK,60.86483945,-151.6081039,211120,Petroleum and Natural Gas Systems,42885.6
3221,1013259,Kings Mountain Energy Center,NC,35.201313,-81.365446,221112,Power Plants,1066663.1
3223,1005871,Kingston,TN,35.8992,-84.5194,221112,Power Plants,1776718.1
3224,1007209,Kinmundy Power Plant,IL,38.7619,-89.0128,221112,Power Plants,11933.2
3226,1001314,Klamath Cogeneration Project,OR,42.174,-121.8112,221112,Power Plants,1117191.3
3227,1000076,Klamath Energy LLC,OR,42.1727,-121.8144,221112,Power Plants,21947.0
3228,1013394,Knauf Insulation Inc,WV,39.4019,-78.021344,327993,Minerals,35999.3
3229,1000092,Kneeland Station,MA,42.35,-71.0583,221330,Power Plants,70098.2
3230,1003516,Knox County Landfill,IL,41.026486,-90.249232,562212,Waste,12.7
3231,1000934,Knox Lee Power Plant,TX,32.3766,-94.6415,221112,Power Plants,91918.2
3232,1007046,"Koch Fertilizer Ft. Dodge, LLC",IA,42.499406,-94.017177,325311,"Chemicals,Suppliers of CO2",676326.7
3233,1013898,Koch Foods,OH,39.331178,-84.483833,311615,Other,27238.0
3234,1004632,Kohler Co.,WI,43.7375,-87.763889,331511,"Minerals,Waste",55590.7
3235,1004588,Kohler Co. - Brownwood - Main Plant,TX,31.66526,-99.0004,327110,Minerals,15312.8
